date,store_id,sku_id,sku_name,category,unit_price,units_sold,revenue,promo_flag,lag_1,lag_7,roll_7_mean,roll_7_std,dow,weekofyear
2025-01-01,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,24,59.76,0,0,0,24.0,0.0,4,1
2025-01-02,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,30,74.7,0,24,0,27.0,4.242640687119285,5,1
2025-01-03,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,31,77.19,0,30,0,28.333333333333332,3.7859388972001824,6,1
2025-01-04,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,38,94.62,0,31,0,30.75,5.7373048260195025,7,1
2025-01-05,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,36,89.64,0,38,0,31.8,5.495452665613635,1,1
2025-01-06,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,34,84.66,0,36,0,32.166666666666664,4.996665554814197,2,2
2025-01-07,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,46,114.54,1,34,0,34.142857142857146,6.938505396903368,3,2
2025-01-08,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,36,89.64,0,46,24,35.857142857142854,5.304984179322042,4,2
2025-01-09,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,33,82.17,0,36,30,36.285714285714285,4.8550415622761225,5,2
2025-01-10,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,36,89.64,0,33,31,37.0,4.281744192888376,6,2
2025-01-11,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,35,87.15,0,36,38,36.57142857142857,4.314979445958882,7,2
2025-01-12,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,51,126.99,1,35,36,38.714285714285715,6.921326600064608,1,2
2025-01-13,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,33,82.17,0,51,34,38.57142857142857,7.04407890494191,2,3
2025-01-14,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,36,89.64,0,33,46,37.142857142857146,6.25642526870234,3,3
2025-01-15,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,36,36,36.142857142857146,6.98638131005772,4,3
2025-01-16,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,31,77.19,0,29,33,35.857142857142854,7.17469096729542,5,3
2025-01-17,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,28,69.72,0,31,36,34.714285714285715,7.761320457119085,6,3
2025-01-18,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,28,35,33.857142857142854,8.050436249640377,7,3
2025-01-19,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,29,51,31.142857142857142,2.794552524023087,1,3
2025-01-20,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,24,59.76,0,32,33,29.857142857142858,3.7161167647860336,2,4
2025-01-21,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,24,59.76,0,24,36,28.142857142857142,3.1320159337914957,3,4
2025-01-22,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,24,29,27.571428571428573,3.3094381626464866,4,4
2025-01-23,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,27,67.23,0,25,31,27.0,2.943920288775949,5,4
2025-01-24,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,36,89.64,1,27,28,28.142857142857142,4.525062483125561,6,4
2025-01-25,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,36,29,28.142857142857142,4.525062483125563,7,4
2025-01-26,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,29,32,27.142857142857142,4.29839394148448,1,4
2025-01-27,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,25,24,27.285714285714285,4.191828786034631,2,5
2025-01-28,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,26,64.74,0,25,24,27.571428571428573,3.9940431835899006,3,5
2025-01-29,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,26,64.74,0,26,25,27.714285714285715,3.903600291794133,4,5
2025-01-30,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,24,59.76,0,26,27,27.285714285714285,4.15187851918806,5,5
2025-01-31,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,30,74.7,0,24,36,26.428571428571427,2.2253945610567474,6,5
2025-02-01,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,35,87.15,0,30,29,27.285714285714285,3.9036002917941333,7,5
2025-02-02,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,34,84.66,0,35,25,28.571428571428573,4.466808810815722,1,5
2025-02-03,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,34,84.66,0,34,25,29.857142857142858,4.561745697594707,2,6
2025-02-04,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,34,26,30.285714285714285,4.270608298368657,3,6
2025-02-05,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,30,74.7,0,29,26,30.857142857142858,3.8483144114694956,4,6
2025-02-06,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,34,84.66,0,30,24,32.285714285714285,2.497617912751115,5,6
2025-02-07,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,34,30,32.57142857142857,2.299068134204441,6,6
2025-02-08,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,39,97.11,0,32,35,33.142857142857146,3.2877840272018783,7,6
2025-02-09,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,38,94.62,0,39,34,33.714285714285715,3.7733400639347674,1,6
2025-02-10,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,38,34,33.42857142857143,3.8234863173611098,2,7
2025-02-11,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,32,29,33.42857142857143,3.8234863173611107,3,7
2025-02-12,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,30,74.7,0,29,30,33.42857142857143,3.8234863173611098,4,7
2025-02-13,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,30,34,33.142857142857146,3.8483144114694956,5,7
2025-02-14,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,32,32,33.142857142857146,3.8483144114694965,6,7
2025-02-15,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,32,39,32.142857142857146,2.8535691936340255,7,7
2025-02-16,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,27,67.23,0,32,38,30.571428571428573,1.9880595947760105,1,7
2025-02-17,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,27,32,29.571428571428573,2.7602622373694166,2,8
2025-02-18,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,28,69.72,0,25,29,29.428571428571427,2.8199966227605584,3,8
2025-02-19,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,28,30,28.714285714285715,3.251373336211727,4,8
2025-02-20,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,25,62.25,0,25,32,27.714285714285715,3.1471831698777724,5,8
2025-02-21,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,23,57.27,0,25,32,26.428571428571427,2.9358214555806383,6,8
2025-02-22,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,26,64.74,0,23,32,25.571428571428573,1.6183471874253743,7,8
2025-02-23,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,30,74.7,0,26,27,26.0,2.3094010767585034,1,8
2025-02-24,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,26,64.74,0,30,25,26.142857142857142,2.267786838055364,2,9
2025-02-25,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,24,59.76,0,26,28,25.571428571428573,2.2253945610567474,3,9
2025-02-26,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,26,64.74,0,24,25,25.714285714285715,2.2146697055682827,4,9
2025-02-27,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,27,67.23,0,26,25,26.0,2.2360679774997894,5,9
2025-02-28,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,31,77.19,0,27,23,27.142857142857142,2.47847879612821,6,9
2025-03-01,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,29,72.21,0,31,26,27.571428571428573,2.5071326821120343,7,9
2025-03-02,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,33,82.17,0,29,30,28.0,3.162277660168379,1,9
2025-03-03,STR-BLR-01,SKU-1001,Organic Milk 1L,Dairy,2.49,32,79.68,0,33,26,28.857142857142858,3.338091841585121,2,10
